content,content_stem,score,target
"Easy to navigate, gd shopping experience!",easi navig gd shop experi,5,0
"I love your discount codes!! I think i bought too much. More codes please yay 🙆 but need to release payment to seller faster. It took 9 days for me to receive my 1st one omg. &you said 3-5 working days?? Hmmm. The notification doesnt popup until i open the app idk why, even though i alr enabled them",love discount code think bought much code pleas yay need releas payment faster took day receiv st one omg said work day hmmm notif doesnt popup open idk even though alr enabl,3,1
"Cheap and love all product, only shipping and waiting take time...",cheap love product ship wait take time,4,0
Easy to buy things,easi buy thing,5,0
Good ecommerce store as alternatives to Lazada and Q0010,good ecommerc store altern lazada q,4,0
Happy to recive the orders and receive it in good conditions so give the 5 starts.,happi reciv order receiv good condit give start,5,0
Good for online shopping. The only downside is that the app can be very buggy and unresponsive. It doesnt load properly at times and it's making me not want to use it.,good onlin shop downsid buggi unrespons doesnt load properli time make want use,3,1
Best online shopping app ever,best onlin shop ever,5,0
Many variety,mani varieti,5,0
My fav shopee,fav,5,0
Payment is easy. Shipment timing better than some other online shops during this Covid Circuit Breaker. Contactless delivery is good. Notifications prompt.,payment easi shipment time better onlin shop covid circuit breaker contactless deliveri good notif prompt,5,0
"Used to love this app. However, with the recent update, the app auto logged me out, and now I cant sign back in. Before that, your receivable items cant be seen and sellers appear to be deleted for some reason.",use love howev recent updat auto log cant sign back receiv cant seen appear delet reason,1,1
The push notification could not be turned off properly even I updated the software 3 times over the last 2 weeks. Very annoying notification due to this bug. Attached the screen shot for your references which clearly shown that all possible notification have been turn off in the Shopee feedback form.,push notif could turn properli even updat softwar time last week annoy notif due bug attach screen shot refer clearli shown possibl notif turn feedback form,2,1
Good platform with reliable sellers.,good platform reliabl,5,0
I'm unable to view 'My Likes' item via laptop,unabl view like via laptop,3,1
The deals are good. But the apps sometimes very lag,deal good app sometim lag,4,0
"Cannot check out the items, stuck in the payment screen. How to proceed?!",cannot check stuck payment screen proceed,2,1
Cant even hit the pay button as it's too close to the edge.,cant even hit pay button close edg,1,1
Easy to use. Just that voucher cannot stack.,easi use voucher cannot stack,4,0
Wonderful experience,wonder experi,5,0
"Fast delivery, items are well packed to protect customer's goods !!!",fast deliveri well pack protect custom good,5,0
So far so good in the moment,far good moment,5,0
"Worst services, J&T parcel delivery also",worst servic j parcel deliveri also,1,1
"Bad experience. Received a spoilt item from this seller ""superdeals888.sg"". Ask seller to send new one or refund. But seller don't want to refund and say can only send new one if I buy next NEW order, then send together with new order. Think i so stupid buy from this seller ""superdeals888.sg"" again, cheated 1 time not enough????",experi receiv spoilt superd sg ask send new one refund want refund say send new one buy next new order send togeth new order think stupid buy superd sg cheat time enough,1,1
"Disappointed over and over again. I have been chasing their customer service to help me add my phone number and address to my account. Imagine, a simple task of adding a phone number and address has gotten me frustrated. Why? Because neither their app nor their website allows me to enter a phone no. starting with the number 8. And the issue is still open.",disappoint chase custom servic help add phone number address account imagin simpl task ad phone number address gotten frustrat neither websit allow enter phone start number issu still open,1,1
Smooth and fast,smooth fast,5,0
Good,good,2,1
Love to shop here. It's an easy app to use and the product available is all relatively cheaper than retail store.,love shop easi use product avail rel cheaper retail store,5,0
Just started using the app as a seller & it works alright. One major problem for me would be that the app lowers the quality of my photos and doesn't have a sharpen function for me to adjust it. So my products don't look as good as I want them to. would be great if the Shopee team works on this issue. Cheers~,start use work alright one major problem would lower qualiti photo sharpen function adjust product look good want would great team work issu cheer,4,0
Good Service with Flash deals and lucky draws.. 🙂,good servic flash deal lucki draw,5,0
